feature1,feature2,class
-7.644761383428695378e-01,1.134969018251047679e+00,1.000000000000000000e+00
4.330381573149466590e+00,2.922025966773329042e+00,2.000000000000000000e+00
2.529467251975276110e+00,2.173807387752347609e+00,2.000000000000000000e+00
1.864518438775064624e+00,2.053911634240494610e+00,1.000000000000000000e+00
6.169544051152371367e-01,2.006370610746635919e+00,2.000000000000000000e+00
2.100603294096611007e-01,3.639715203265866394e-01,1.000000000000000000e+00
2.330187221345991322e+00,1.605338560769623779e+00,2.000000000000000000e+00
1.645907202707298733e+00,1.829606786535196594e+00,2.000000000000000000e+00
4.434535420163421282e-01,2.628644976024158808e+00,2.000000000000000000e+00
-4.263594738530120942e-01,4.571272939779043032e-01,2.000000000000000000e+00
-9.489682103352573561e-01,1.104191311605326575e+00,1.000000000000000000e+00
-1.945838291906764939e+00,-1.251220489905294553e+00,1.000000000000000000e+00
1.794802367720341962e+00,3.104438773878425373e+00,2.000000000000000000e+00
2.530423553031633244e+00,3.280792664138724835e+00,2.000000000000000000e+00
-2.360641937501246179e+00,3.298553297785248084e+00,1.000000000000000000e+00
8.539327048296869727e-01,1.988992884675202744e+00,2.000000000000000000e+00
3.499616479614768849e+00,2.798767022824704132e+00,2.000000000000000000e+00
-7.496960143455254633e-01,-9.980741325803021979e-01,1.000000000000000000e+00
4.506134466890762691e-01,1.956600801098958176e+00,1.000000000000000000e+00
4.021445317293022015e+00,2.850630458796218569e+00,2.000000000000000000e+00
1.274321633006551213e+00,1.775654494146567064e+00,1.000000000000000000e+00
1.848226001231923599e+00,3.732951188902259076e+00,2.000000000000000000e+00
-1.022865474222951931e+00,-1.849735718993332112e+00,1.000000000000000000e+00
-1.011577573296706944e+00,1.181556809644713102e+00,2.000000000000000000e+00
3.255628908641641228e-01,1.128806670388382560e+00,2.000000000000000000e+00
6.495404931320136743e-01,1.758422493945477116e+00,1.000000000000000000e+00
2.317923211281177398e+00,3.169964028342406870e+00,2.000000000000000000e+00
8.486397441833056776e-01,1.862340461309815787e+00,1.000000000000000000e+00
1.327224113447633469e+00,5.789093542744283560e-02,2.000000000000000000e+00
-7.007072430859130341e-01,5.495371070481626097e-01,1.000000000000000000e+00
1.882772668762018320e-01,-3.217720212067992414e+00,1.000000000000000000e+00
2.910328409693705876e+00,2.232254553567209587e+00,2.000000000000000000e+00
7.794993207362279630e-01,1.620866860454385217e+00,2.000000000000000000e+00
-7.373053818901081913e-01,3.580498986640839654e+00,1.000000000000000000e+00
-3.306747553418893371e-01,2.265274675048182473e+00,1.000000000000000000e+00
1.114014280687429359e+00,-1.934719543509440642e+00,1.000000000000000000e+00
3.318119326990331075e+00,3.175331111194087619e+00,2.000000000000000000e+00
-9.780461448902318944e-01,3.017373698546845784e-01,1.000000000000000000e+00
8.328143115591979395e-01,-2.197452832249729981e-01,1.000000000000000000e+00
-2.196512374289524061e+00,-8.662111271334933527e-01,2.000000000000000000e+00
-1.216739501924628319e+00,-3.454558970855640343e+00,1.000000000000000000e+00
-3.989370374745433018e-02,4.891003819667011920e-01,1.000000000000000000e+00
4.901564566123234878e-01,1.501236891356836134e+00,1.000000000000000000e+00
2.413466576059729363e+00,1.804841905179780381e+00,2.000000000000000000e+00
9.559279118549806054e-01,2.455240284448607202e+00,2.000000000000000000e+00
-1.059483174515892800e+00,-1.673596660233761302e+00,1.000000000000000000e+00
2.649209025026911579e+00,2.511537877695322329e+00,2.000000000000000000e+00
1.865653265259790361e+00,1.387582694293336472e+00,2.000000000000000000e+00
8.859220593314187653e-01,-6.621729073049288372e-01,1.000000000000000000e+00
4.853650444233628125e-01,3.440439007181812947e+00,2.000000000000000000e+00
2.996646637425035564e+00,2.997884780641927538e+00,2.000000000000000000e+00
9.574640166424408516e-01,7.369590425318781612e-01,2.000000000000000000e+00
2.926591349578022694e-01,-2.083470237231841438e+00,1.000000000000000000e+00
2.099930608435034429e+00,1.503728864391949083e+00,2.000000000000000000e+00
2.579103673702586530e+00,1.313404043614817551e+00,1.000000000000000000e+00
1.011565859898711839e+00,6.558445741258789319e-01,2.000000000000000000e+00
3.237548169609251403e+00,3.220963291585338339e+00,2.000000000000000000e+00
-1.168701250712485873e+00,-4.700999979066136092e+00,1.000000000000000000e+00
-3.545073106791235551e-01,-1.060478464984079938e+00,1.000000000000000000e+00
3.101782036593370595e+00,2.723858151944030137e+00,2.000000000000000000e+00
2.755194450073642276e+00,1.890238331044910680e+00,2.000000000000000000e+00
4.632032987859273643e-01,-8.087171506682229172e-01,1.000000000000000000e+00
4.188328377854462659e+00,3.125114416680171647e+00,2.000000000000000000e+00
1.906421201448520009e+00,8.694922488505114622e-01,2.000000000000000000e+00
2.970441276935635422e+00,3.348614391949574554e+00,2.000000000000000000e+00
3.039932647720616221e-01,-4.197624392345464250e-01,1.000000000000000000e+00
9.486906832475267004e-01,-1.659531699748349798e+00,1.000000000000000000e+00
2.011604512865713179e+00,9.867721073894037964e-01,1.000000000000000000e+00
4.889352648217963337e-01,7.731688912351564191e-01,1.000000000000000000e+00
-1.949647654692614918e+00,2.583924760213002880e+00,1.000000000000000000e+00
-1.347854420731112862e-02,5.311468389392525191e-01,1.000000000000000000e+00
1.585241147773600145e+00,1.057208993467970481e+00,2.000000000000000000e+00
-8.831616404424078581e-01,-1.460780935369268896e+00,1.000000000000000000e+00
7.079226563702571973e-01,3.338786711403492369e+00,2.000000000000000000e+00
1.803132306238807991e-01,-3.917320779725694813e-01,1.000000000000000000e+00
7.085761333730626887e-01,9.189367225754830892e-01,1.000000000000000000e+00
1.106564366158706347e+00,5.854305527258796271e-01,2.000000000000000000e+00
-6.287218994534140570e-01,1.883178537477916858e+00,1.000000000000000000e+00
2.091754088703392522e+00,3.266284205841711419e+00,2.000000000000000000e+00
3.694519526253795316e+00,3.152796142292554116e+00,2.000000000000000000e+00
6.979860082074745842e-01,5.521149560578686444e-01,1.000000000000000000e+00
1.912130207284414296e-01,1.682848296086967510e+00,1.000000000000000000e+00
1.466878503670470124e+00,1.980885388113121925e-01,1.000000000000000000e+00
4.174970925385945719e+00,2.273422897132154397e+00,2.000000000000000000e+00
7.268054374214337476e-02,-1.057285813283439069e+00,1.000000000000000000e+00
3.025490686988981714e+00,2.505091513904565304e+00,2.000000000000000000e+00
2.122157316227885282e+00,1.706114433259150909e+00,2.000000000000000000e+00
1.352091503691076113e+00,1.983707200762175438e+00,2.000000000000000000e+00
-1.683524453523063957e-01,1.361623678150461814e+00,1.000000000000000000e+00
5.341417306133464105e-02,-6.064235368308317220e-01,1.000000000000000000e+00
2.983926698725929416e-01,2.799023217469185365e+00,2.000000000000000000e+00
1.363684856109220744e-01,-2.994332427051443757e-01,1.000000000000000000e+00
5.325358022863138530e+00,3.301455845539526202e+00,2.000000000000000000e+00
1.030467464190210514e+00,2.196306335133814347e+00,1.000000000000000000e+00
-1.797091461392385403e+00,-1.913029001386577166e+00,1.000000000000000000e+00
5.769074115960168836e-01,5.370908852380036347e-01,1.000000000000000000e+00
-2.377209652342027191e-01,1.229626393422352137e+00,2.000000000000000000e+00
-2.123904676785094203e+00,1.520384216100622243e+00,1.000000000000000000e+00
1.853403477123941823e+00,3.300016230825903119e+00,2.000000000000000000e+00
7.441376481071382276e-01,5.227391412173747476e-01,2.000000000000000000e+00
1.083871236482031319e+00,7.377598190486011065e-01,1.000000000000000000e+00
2.082782127945259631e+00,1.996929483085341905e+00,2.000000000000000000e+00
1.608926481628324856e+00,1.578092947798163559e+00,2.000000000000000000e+00
3.854439937976661401e+00,3.946800234871499669e+00,2.000000000000000000e+00
3.379159689656404453e+00,2.072350112825926516e+00,2.000000000000000000e+00
1.257217025801910193e+00,1.406632816747206416e+00,2.000000000000000000e+00
3.528390222923416530e+00,5.873066189610538501e-01,2.000000000000000000e+00
-1.094805977304391664e+00,4.796467668385972494e-01,1.000000000000000000e+00
2.526084918819461844e+00,2.081059515566554108e+00,2.000000000000000000e+00
9.012973400517787503e-01,-1.978242857882179351e+00,1.000000000000000000e+00
4.796592360166879732e-01,2.225020925790269111e+00,1.000000000000000000e+00
-1.166832037109781339e+00,-6.685679908550110628e-01,1.000000000000000000e+00
3.092791141076864925e+00,2.195784203015622715e+00,2.000000000000000000e+00
1.249327721336537467e+00,1.825581410530832116e-01,2.000000000000000000e+00
2.036061530441226175e+00,2.932215064135026861e+00,2.000000000000000000e+00
2.536614323673903382e+00,2.757364979856751219e+00,2.000000000000000000e+00
2.160183020359064177e+00,2.160205711507209969e+00,2.000000000000000000e+00
6.151875132349221217e-03,3.191330490197948899e-01,1.000000000000000000e+00
-1.273038638195097327e+00,-6.040883346761369843e-01,1.000000000000000000e+00
2.172574719033701918e+00,1.866665141302359610e+00,2.000000000000000000e+00
3.755043372371352994e+00,2.645504562780578439e+00,2.000000000000000000e+00
6.264641856235829698e-01,-4.182916211885617797e-01,1.000000000000000000e+00
-1.405192490104221648e+00,-2.127219218177393678e+00,1.000000000000000000e+00
4.029248917217765680e+00,1.861813731408684891e+00,2.000000000000000000e+00
7.477908709555587154e-03,-1.215010036481647439e-03,1.000000000000000000e+00
4.003598798176346563e-01,1.683431371690206291e+00,2.000000000000000000e+00
4.556825323967464425e-01,5.188381018150433066e-01,1.000000000000000000e+00
-2.751254656293959044e+00,2.102070883897333875e+00,1.000000000000000000e+00
1.876118117434067978e+00,1.232036081111617776e+00,1.000000000000000000e+00
1.604271018642656754e+00,2.628283921548947855e-01,1.000000000000000000e+00
-6.907668620266019799e-01,-2.621087758977964643e+00,1.000000000000000000e+00
-1.004419600814466129e+00,-5.181306375975756051e-01,1.000000000000000000e+00
-2.322697134472135605e-01,-2.747472235098192161e+00,1.000000000000000000e+00
